country,dr_per_1000,bed_per_1000
Brazil,0.51,1.15
Argentina,0.86,1.57
Germany,0.96,0.63
Brazil,0.83,0.87
Mexico,0.99,1.6
Germany,0.86,0.54
UK,0.72,1.87
Indonesia,0.82,0.93
"South Korea",0.56,1.62
"Saudi Arabia",0.58,1.98
Germany,0.89,1.4
Brazil,0.7,0.7
USA,0.81,1.74
China,0.88,1.5
Italy,0.72,1.7
Brazil,0.66,1.42
Brazil,0.51,1.16
"Saudi Arabia",0.74,0.98
Canada,0.98,0.53
Australia,0.7,0.94
Italy,0.94,1.54
France,0.57,1.54
"South Africa",0.59,1.83
Japan,0.99,1.53
Japan,0.75,1.61
"South Africa",0.93,1.31
USA,0.79,0.62
Brazil,0.57,1.97
"Saudi Arabia",0.61,1.23
China,0.59,1.27
Russia,0.91,1.27
Germany,0.83,0.69
Canada,0.67,1.55
Italy,0.9,1.88
France,0.99,0.95
France,0.97,0.8
Turkey,0.52,1.23
Brazil,0.62,0.89
Russia,0.63,1.29
Italy,0.92,1.9
Indonesia,0.89,0.62
Mexico,0.66,1.99
Germany,0.91,1.31
UK,0.9,1.31
USA,0.96,1.79
Mexico,0.8,1.63
UK,0.66,1.36
Nigeria,0.97,1.03
UK,0.75,1.79
Indonesia,0.91,1.6
UK,0.9,1.23
Brazil,0.94,1.66
Japan,0.67,1.56
Germany,0.94,1.1
Japan,0.87,0.91
Brazil,0.85,1.11
Germany,0.94,0.51
Argentina,0.91,1.42
USA,0.9,0.72
India,0.56,1.18
Italy,0.55,1.13
Russia,0.96,1
"Saudi Arabia",0.86,0.76
Canada,0.68,0.51
Argentina,0.65,1.18
Australia,0.57,1.92
Argentina,0.6,1.18
UK,0.62,1.08
"South Korea",0.61,1.69
France,0.82,1.48
Brazil,0.8,0.6
India,0.84,0.51
Australia,0.54,1.14
France,0.71,1.33
"Saudi Arabia",0.86,0.53
Mexico,0.85,1.16
France,0.51,1.44
Germany,0.92,0.58
"South Africa",0.53,0.51
Mexico,0.7,1.72
Mexico,0.58,1.04
Japan,0.82,1.97
Brazil,0.8,0.91
Mexico,0.74,0.8
UK,0.82,0.88
Australia,0.74,1.5
China,0.8,0.69
"South Korea",0.73,1.11
Argentina,0.75,0.82
Indonesia,0.77,1.57
Japan,0.74,1.81
Nigeria,0.89,1.31
Nigeria,0.66,1.49
Germany,0.69,0.87
Australia,0.89,1.58
Italy,0.92,1.28
"South Korea",0.71,1.27
"South Africa",0.68,1.18
"Saudi Arabia",0.94,1.42
Brazil,0.95,1.01
India,0.94,1.89
"Saudi Arabia",0.77,0.56
"South Africa",0.77,0.93
Indonesia,0.73,1.76
Canada,0.55,1.92
Italy,0.93,1.25
Nigeria,0.83,1.38
Russia,0.76,0.98
China,0.59,0.79
"Saudi Arabia",0.56,1.91
Nigeria,0.72,1.08
Russia,0.64,0.79
Indonesia,0.5,1.31
India,0.8,1.05
"South Africa",0.83,1.44
Canada,0.85,0.98
Turkey,0.57,0.95
Australia,0.81,1.2
"South Africa",0.6,0.97
USA,0.74,1.84
India,0.53,1.57
Italy,0.58,1.62
China,0.97,1.93
UK,0.97,1.2
Brazil,0.65,1.63
Japan,0.93,0.7
Canada,0.52,0.54
Russia,0.9,1.15
Australia,0.89,1.19
Italy,0.94,1.77
Germany,0.81,0.86
India,0.68,1.18
France,0.59,1.41
"South Africa",0.73,0.78
"South Korea",0.78,1.01
"South Africa",0.88,1.83
India,0.89,0.83
"South Korea",0.88,1.39
China,0.68,1.37
India,0.91,1.06
Australia,0.72,0.56
UK,0.81,1.33
Germany,0.78,1.71
UK,0.79,1.09
Australia,0.93,1.35
Turkey,0.51,1.88
Canada,0.9,1.66
"South Africa",0.57,1.66
India,0.71,1.73
UK,0.67,0.88
Germany,0.96,1.68
Turkey,0.71,1.77
India,0.51,1.55
Italy,0.75,1.22
France,0.7,1.25
India,0.85,0.83
Indonesia,0.99,1.45
France,0.65,0.79
Germany,0.65,1.72
Indonesia,0.93,1.61
Turkey,0.59,1.98
"South Korea",0.51,0.83
Argentina,0.53,0.84
UK,0.61,0.71
"Saudi Arabia",0.61,1.65
France,0.63,1.33
France,0.75,0.94
"South Korea",0.53,0.84
Germany,0.53,0.56
UK,0.62,0.73
Nigeria,0.97,0.66
Japan,0.81,1.42
Japan,0.57,1.11
Indonesia,0.7,0.86
Italy,0.61,1.6
India,0.97,1.84
UK,0.96,1.18
Nigeria,0.75,1.33
India,0.93,1.88
Italy,0.54,1.71
Australia,0.78,1.9
Australia,0.89,1.21
"Saudi Arabia",0.65,1.95
Brazil,0.86,0.51
India,0.71,1.6
Nigeria,0.96,0.99
UK,0.59,1.51
Italy,0.77,1.91
Nigeria,0.54,1.87
"Saudi Arabia",0.94,0.87
China,0.84,1.06
India,0.5,1.92
China,0.6,1.74
Russia,0.93,1.2
Italy,0.99,1.98
Japan,0.55,0.78
Russia,0.54,1.23
Italy,0.59,0.99
China,0.51,0.72
India,0.76,0.5
India,0.88,1.22
Canada,0.81,0.89
Japan,0.54,1.78
Italy,0.69,1.7
Indonesia,0.78,1.07
Brazil,0.51,1.91
Italy,0.9,1.82
Nigeria,0.72,0.88
"South Africa",0.78,1.86
France,0.67,0.57
Turkey,0.7,0.99
Brazil,0.64,1.9
Japan,0.55,0.93
China,0.83,0.73
"Saudi Arabia",0.98,1.52
Germany,0.88,1.5
"Saudi Arabia",0.91,1.44
India,0.83,0.51
USA,0.82,1.51
France,0.56,1
Italy,0.82,0.74
Russia,0.9,1.8
Italy,0.85,1.56
Russia,0.91,1.35
China,0.68,1.4
India,0.7,1.28
Nigeria,0.86,0.56
Italy,0.51,1.01
Nigeria,0.59,1.23
Turkey,0.74,1.58
Italy,0.65,0.58
USA,0.5,1.09
Russia,0.92,1.29
"South Korea",0.66,0.6
Argentina,0.84,1.15
Canada,0.92,1.91
France,0.97,1.46
China,0.61,1.03
Argentina,0.96,1.72
France,0.61,1.75
Mexico,0.63,1.18
France,0.65,1.81
France,0.65,1.03
"Saudi Arabia",0.6,1.78
Turkey,0.73,0.8
Russia,0.88,0.51
"Saudi Arabia",0.66,1.74
Indonesia,0.57,1.39
Australia,0.58,0.75
Mexico,0.51,0.96
USA,0.71,0.92
France,0.97,1.04
Indonesia,0.98,1.01
Germany,0.7,1.18
Australia,0.68,0.81
Indonesia,0.73,1.79
Italy,0.97,1.63
Australia,0.59,1.42
USA,0.55,0.91
China,0.68,1.93
Turkey,0.69,0.62
Japan,0.72,0.66
Brazil,0.85,1.87
"South Korea",0.8,0.67
Indonesia,0.75,0.9
"South Africa",0.93,1.3
Germany,0.72,1.33
UK,0.85,1.05
Russia,0.57,1.45
Russia,0.73,1.14
Turkey,0.86,1.75
Indonesia,0.94,1.58
Italy,0.75,0.9
Mexico,0.65,0.98
Nigeria,0.54,0.61
Turkey,0.82,0.68
Nigeria,0.99,1.2
"South Korea",0.75,0.93
Argentina,0.93,1.23
"South Korea",0.97,0.72
China,0.94,1.63
USA,0.57,1.92
UK,0.55,1.85
France,0.76,1.04
Australia,0.84,0.66
"South Korea",0.78,1.09
Germany,0.78,1.81
Argentina,0.71,1.63
Australia,0.66,0.82
Germany,0.76,1.73
India,0.64,0.52
Mexico,0.91,0.59
Russia,0.55,1
Japan,0.83,1.55
Nigeria,0.6,1.58
France,0.89,0.96
UK,0.62,1.82
India,0.7,1.27
Japan,0.73,1.85
Turkey,0.99,0.98
Argentina,0.91,0.86
Australia,0.72,0.75
Canada,0.69,1.15
Mexico,0.61,1.35
Argentina,0.57,1.08
Japan,0.91,1.1
Mexico,0.72,1.06
Russia,0.59,1.09
Japan,0.81,1.11
Japan,0.8,0.54
UK,0.9,1.08
Italy,0.93,1.27
Russia,0.53,1.94
Germany,0.63,1.11
Italy,0.5,1.39
"South Korea",0.7,1.12
"South Africa",0.7,1.18
Brazil,0.92,1.1
"South Africa",0.97,1.32
Russia,0.99,1.49
Japan,0.52,1.63
"South Korea",0.96,1.49
USA,0.55,1.5
France,0.99,1.71
Mexico,0.86,1.55
Russia,0.58,1.5
Indonesia,0.9,0.56
France,0.59,1.4
France,0.57,1.8
Argentina,0.87,1.47
Canada,0.81,1.36
India,0.72,0.87
Canada,0.94,1.75
USA,0.86,1.22
Canada,0.62,0.52
Germany,0.79,0.94
Indonesia,0.75,0.79
Russia,0.9,0.96
Indonesia,0.88,1.73
Japan,0.96,1.03
Brazil,0.65,1.03
Mexico,0.59,1.85
UK,0.8,1.8
Japan,0.52,0.51
China,0.99,1.63
"Saudi Arabia",0.79,1.58
"South Korea",0.71,1.44
Italy,0.58,0.52
Argentina,0.53,1.61
"Saudi Arabia",0.97,0.64
France,0.84,0.95
China,0.56,1.33
Mexico,0.92,1.16
China,0.5,0.51
Japan,0.96,1.57
"South Korea",0.8,0.68
Canada,0.94,0.54
Australia,0.6,1.92
France,0.51,1.02
"South Africa",0.94,0.81
"South Korea",0.82,1.94
UK,0.62,1.05
"South Africa",0.65,1.27
"Saudi Arabia",0.94,1.05
China,0.89,1.1
USA,0.71,1.45
Canada,0.98,1.9
Turkey,0.58,1.66
Indonesia,0.99,1.26
Nigeria,0.79,1.03
Mexico,0.54,0.82
Turkey,0.68,1.23
India,0.67,1.05
China,0.62,1.92
USA,0.99,1.4
France,0.53,0.85
Australia,0.79,1.39
Japan,0.89,1.26
Brazil,0.92,1.77
Italy,0.77,0.59
Italy,0.81,0.8
USA,0.54,0.8
Japan,0.87,1.64
Italy,0.8,1.78
Argentina,0.8,1.7
India,0.67,0.62
Germany,0.98,1.41
"South Korea",0.6,1.21
Turkey,0.85,1.39
Brazil,0.76,1.42
Japan,0.66,1.95
Indonesia,0.9,0.52
Japan,0.55,0.54
Indonesia,0.91,1.98
"South Africa",0.55,0.94
UK,0.64,1.1
Russia,0.89,1.36
Brazil,0.75,0.6
France,0.92,0.86
Canada,0.78,0.8
India,0.83,1.84
"Saudi Arabia",0.51,0.63
India,0.85,0.86
Mexico,0.69,1.95
Turkey,0.53,1.34
Germany,0.78,1.78
UK,0.51,0.64
France,0.51,1.57
Russia,0.67,1.23
Mexico,0.79,0.76
China,0.64,0.59
Argentina,0.92,1.49
Argentina,0.94,1.55
"South Korea",0.79,1.63
Russia,0.51,1.29
France,0.59,1.34
Australia,0.62,0.98
Germany,0.92,1.42
Nigeria,0.65,1.47
Canada,0.85,0.87
USA,0.62,0.83
Russia,0.83,0.82
USA,0.6,1.16
Nigeria,0.97,0.8
USA,0.89,0.84
Japan,0.93,1.4
"South Africa",0.65,1.4
China,0.61,1.49
Indonesia,0.58,1.56
Japan,0.62,1.44
USA,0.66,1.73
Canada,0.59,1.83
Italy,0.99,0.86
Argentina,0.69,0.52
Turkey,0.56,1.25
UK,0.76,1.83
China,0.68,1.79
Indonesia,0.56,0.96
"South Korea",0.74,1.68
Mexico,0.64,1.08
Turkey,0.88,0.73
Turkey,0.55,0.53
UK,0.83,1.69
Japan,0.56,1.15
China,0.92,0.89
"South Africa",0.9,0.64
China,0.54,0.75
"South Korea",0.94,0.99
Nigeria,0.93,0.97
India,0.92,0.63
Italy,0.57,1.93
UK,0.96,1.07
"South Africa",0.74,0.69
Nigeria,0.69,0.97
Brazil,0.86,1.05
Mexico,0.93,1.86
Argentina,0.67,1.92
Indonesia,0.81,1.88
"South Korea",0.86,1.12
Brazil,0.56,1.67
Germany,0.53,1.18
Argentina,0.67,1.35
Italy,0.94,1.1
India,0.71,0.78
Argentina,0.56,1.04
India,0.93,1.58
India,0.77,1.14
Russia,0.65,1.75
Russia,0.73,1.32
China,0.76,1.34
France,0.91,0.77
Indonesia,0.7,0.69
Turkey,0.68,0.99
Argentina,0.98,1.01
Japan,0.66,1.23
USA,0.97,1.49
China,0.95,1.35
USA,0.81,0.72
Brazil,0.91,1.37
India,0.86,1.79
Brazil,0.57,1.34
Germany,0.98,0.68
Mexico,0.82,1.67
Indonesia,0.73,0.68
Nigeria,0.67,1.43
Australia,0.77,0.59
"South Africa",0.59,1.63
India,0.71,1.65
UK,0.88,1.85
"South Africa",0.98,1.74
"Saudi Arabia",0.51,0.59
Japan,0.84,1.67
Mexico,0.81,1.5
Argentina,0.71,0.66
Canada,0.99,0.54
"South Korea",0.63,0.89
France,0.84,1.76
Argentina,0.67,1.68
UK,0.82,0.58
"Saudi Arabia",0.84,1.02
Japan,0.67,0.63
Canada,0.53,1.89
UK,0.6,0.94
Turkey,0.81,1.2
France,0.88,1.7
Brazil,0.97,1.19
Indonesia,0.75,0.59
Canada,0.92,1.32
"Saudi Arabia",0.74,0.59
Nigeria,0.9,1.11
"South Korea",0.77,1.35
Canada,0.95,1.41
UK,0.65,0.78
Nigeria,0.52,0.76
UK,0.72,1.65
China,0.56,1.11
Argentina,0.59,1.37
"South Korea",0.88,1.97
China,0.95,1.04
Japan,0.67,1.35
Indonesia,0.54,0.58
Mexico,0.59,0.53
Nigeria,0.67,0.95
Nigeria,0.51,0.65
Indonesia,0.74,0.87
China,0.92,1.15
India,0.56,1.88
Japan,0.81,1.91
France,0.79,0.84
Italy,0.94,1.5
Italy,0.64,1.03
China,0.86,0.9
France,0.85,1.16
France,0.96,1.08
Germany,0.85,1.51
Argentina,0.63,0.87
India,0.88,1.45
"South Korea",0.79,0.78
Indonesia,0.74,1.02
Japan,0.93,0.64
Japan,0.67,1.83
Canada,0.71,1.63
Nigeria,0.57,0.68
Australia,0.77,1.31
Russia,0.75,1.25
Australia,0.54,1.37
UK,0.64,1.13
Italy,0.97,1.75
Italy,0.63,0.63
China,0.95,0.96
Brazil,0.92,1.93
USA,0.91,1.55
"South Africa",0.97,1.84
Australia,0.54,0.77
France,0.9,1.26
"South Africa",0.53,0.83
Italy,0.7,1.01
Japan,0.65,1.48
India,0.88,0.51
USA,0.95,0.87
China,0.86,1.53
Brazil,0.92,1.27
Japan,0.66,1.34
Turkey,0.93,1.61
Turkey,0.53,0.67
Indonesia,0.68,1.29
UK,0.6,1.76
Turkey,0.55,1.83
India,0.6,1.59
Argentina,0.68,1.32
"South Korea",0.75,0.85
"South Korea",0.99,1.32
Canada,0.71,1.86
Turkey,0.91,1.63
Mexico,0.64,0.95
"South Africa",0.87,1.3
China,0.88,1.95
"Saudi Arabia",0.74,0.88
Russia,0.95,1
UK,0.52,0.7
Australia,0.96,0.89
China,0.59,0.69
Argentina,0.7,1.25
"South Africa",0.55,0.63
USA,0.53,1.93
India,0.8,1.5
Japan,0.97,1.51
Indonesia,0.73,0.98
Japan,0.51,1.65
Italy,0.7,0.53
Indonesia,0.7,1.39
Japan,0.59,1.86
Turkey,0.6,1.13
USA,0.55,0.93
Mexico,0.51,1.01
"South Africa",0.72,0.54
Italy,0.95,1.62
Canada,0.57,0.65
UK,0.91,0.72
"South Africa",0.6,1.21
"South Africa",0.91,1.02
Canada,0.86,1.31
"South Africa",0.95,1.27
Indonesia,0.5,1.66
Brazil,0.53,0.77
Germany,0.89,1.64
Mexico,0.64,1.23
Nigeria,0.75,1.72
"South Africa",0.66,1.59
Russia,0.69,1.25
"South Africa",0.61,1.18
Brazil,0.59,1.26
Mexico,0.93,1.75
"Saudi Arabia",0.94,1.74
France,0.85,0.62
Brazil,0.96,1.66
Japan,0.67,0.81
Russia,0.56,1.94
France,0.84,1.3
India,0.58,0.9
Argentina,0.89,1.83
"South Korea",0.73,0.93
Mexico,0.6,0.82
Argentina,0.51,1.81
UK,0.87,1.67
UK,0.75,0.79
Turkey,0.85,1.27
Australia,0.76,0.81
Australia,0.78,1.65
Australia,0.92,0.99
Italy,0.88,1.64
Canada,0.78,1.91
China,0.87,1.66
China,0.82,1.68
Brazil,0.6,1.39
UK,0.52,1.9
Argentina,0.94,1
UK,0.95,1.93
Japan,0.97,1.81
France,0.94,1.06
USA,0.82,1.31
Canada,0.53,1.06
Nigeria,0.91,1.42
Turkey,0.79,1.95
Italy,0.56,1.2
USA,0.79,1.33
"South Korea",0.94,1.7
Mexico,0.97,1.47
France,0.74,1.92
Brazil,0.63,1.3
Nigeria,0.76,1.74
Australia,0.89,1.55
Mexico,0.76,1.98
"South Korea",0.78,1.35
Indonesia,0.68,1.53
"South Korea",0.78,1.6
Russia,0.57,0.8
Mexico,0.58,0.59
India,0.86,0.87
Nigeria,0.75,1.48
Italy,0.51,0.98
Nigeria,0.9,0.78
Mexico,0.6,1.32
Germany,0.51,1.73
USA,0.67,1.08
"South Korea",0.51,1.37
"South Africa",0.58,0.67
Mexico,0.66,0.58
USA,0.63,1.57
Italy,0.9,1.23
"Saudi Arabia",0.58,1.64
Argentina,0.99,0.99
Mexico,0.93,1.01
Mexico,0.99,1.18
Mexico,0.67,0.6
Mexico,0.92,0.58
Indonesia,0.64,1.55
Germany,0.83,1.19
"Saudi Arabia",0.73,0.52
Australia,0.97,0.68
"South Africa",0.62,0.61
India,0.87,1.83
Brazil,0.51,0.54
France,0.91,1.78
Germany,0.65,0.59
France,0.58,1.51
China,0.93,1.8
China,0.83,0.9
"South Africa",0.71,1.14
Canada,0.61,1.78
Nigeria,0.6,1.18
"South Africa",0.68,1.85
UK,0.95,0.59
Russia,0.68,1.26
Italy,0.88,0.93
Argentina,0.59,1.27
India,0.85,1.94
Germany,0.62,1.58
Canada,0.72,1.87
India,0.51,1.56
Japan,0.7,1.36
Indonesia,0.8,1.77
Russia,0.92,0.71
Mexico,0.63,0.5
Turkey,0.94,1.66
Indonesia,0.76,1.31
India,0.63,1.05
Russia,0.79,0.87
Japan,0.7,1.18
Italy,0.92,0.86
UK,0.88,0.73
USA,0.77,1.01
Indonesia,0.89,0.59
China,0.8,1.45
Nigeria,0.53,1.69
USA,0.7,1.77
Canada,0.55,1.4
Russia,0.68,1.07
India,0.6,1.82
Argentina,0.92,0.82
USA,0.96,1.12
China,0.59,1.2
Canada,0.97,1.93
"South Korea",0.93,1
France,0.74,1.48
Italy,0.99,1.32
Argentina,0.86,1.18
China,0.58,1.99
France,0.58,0.93
France,0.58,1.99
Russia,0.75,1.96
Russia,0.95,0.81
Canada,0.91,1.97
China,0.82,1.9
Mexico,0.85,1.34
China,0.67,1.12
UK,0.51,1.37
Nigeria,0.99,1.41
Germany,0.52,0.73
Germany,0.63,0.86
Indonesia,0.82,0.79
Nigeria,0.58,1.22
India,0.91,1.91
Argentina,0.96,0.92
Mexico,0.82,1.7
Indonesia,0.72,1.74
Canada,0.67,1.86
"Saudi Arabia",0.69,1.01
Canada,0.75,1.97
"South Africa",0.7,1.15
USA,0.77,1.73
Germany,0.57,1.65
Russia,0.84,1.38
Mexico,0.8,0.59
UK,0.75,0.54
China,0.58,0.59
Canada,0.85,1.16
USA,0.99,1.38
"South Africa",0.71,1.7
France,0.92,1.21
Indonesia,0.92,0.86
Australia,0.62,1.84
Italy,0.53,1.42
"South Korea",0.57,1.2
India,0.56,1.88
Italy,0.91,0.95
Australia,0.94,1.02
Japan,0.83,1.65
Mexico,0.57,0.76
Mexico,0.65,1.32
France,0.96,1.65
Indonesia,0.87,0.95
UK,0.72,1.49
Brazil,0.7,1.56
"South Korea",0.97,1.55
China,0.56,1.29
Australia,0.86,0.69
Italy,0.87,0.84
Germany,0.6,1.09
"South Korea",0.52,0.69
India,0.93,1.02
Brazil,0.74,1.43
USA,0.96,1.42
Japan,0.96,0.76
USA,0.61,0.85
Germany,0.98,1.43
Nigeria,0.79,1.38
China,0.85,0.9
Indonesia,0.8,1.64
India,0.81,1.07
Nigeria,0.86,0.92
Indonesia,0.61,0.67
Canada,0.91,0.98
Brazil,0.63,1.83
Russia,0.72,1.77
Australia,0.76,1.81
"South Korea",0.61,1.16
Australia,0.53,1.71
Australia,0.9,0.64
Turkey,0.54,1.21
Nigeria,0.7,1.54
Italy,0.57,1.5
Canada,0.78,1.22
USA,0.91,1.61
Russia,0.58,0.64
USA,0.89,1.33
Argentina,0.76,1.33
China,0.73,0.83
Germany,0.57,1.04
Brazil,0.72,0.78
Mexico,0.57,1.55
Turkey,0.62,1.91
USA,0.64,1.78
UK,0.58,1.33
"South Africa",0.62,0.99
"Saudi Arabia",0.52,1.95
"Saudi Arabia",0.59,1.53
Brazil,0.53,0.58
Argentina,0.8,1.08
UK,0.8,1.46
Mexico,0.55,0.65
Mexico,0.67,1.89
Japan,0.68,1.6
Canada,0.9,1.54
"South Africa",0.77,1.11
Japan,0.9,0.74
"South Africa",0.59,0.66
Turkey,0.99,0.87
Mexico,0.59,1.67
"Saudi Arabia",0.55,1.71
Australia,0.6,1.11
Russia,0.83,1.26
Italy,0.64,1.11
"South Korea",0.98,1.52
Nigeria,0.69,1.84
China,0.51,0.53
Italy,0.6,1.18
Indonesia,0.92,0.88
USA,0.65,0.54
UK,0.94,1.66
"South Africa",0.88,1.66
Germany,0.75,1.55
Indonesia,0.8,0.52
France,0.63,0.69
"South Korea",0.6,1.47
India,0.79,1.33
UK,0.55,0.9
USA,0.83,0.83
"Saudi Arabia",0.98,1.96
Canada,0.59,1.79
